60
('X', (3, 2), (3, 3)), 56.68478282799879
('O', (0, 2), (1, 2)), 54.68557127599888
('O', (0, 1), (1, 1)), 52.73893461799889
('X', (3, 1), (3, 2)), 50.47432980999838
('X', (2, 1), (2, 2)), 49.197891672998594
('X', (2, 0), (2, 1)), 46.695128725998075
('O', (0, 2), (0, 3)), 45.79098484199858
('X', (1, 0), (2, 0)), 44.11679286499748
('O', (0, 1), (0, 2)), 39.71182206999947
('X', (0, 0), (1, 0)), 43.61642674599716
('O', (3, 1), (3, 0)), 36.03257328199834
('O', (4, 1), (3, 1)), 42.013471025997205
('O', (4, 4), (4, 3)), 30.71139195399701
('O', (4, 5), (4, 4)), 37.60577579999699
('O', (3, 5), (4, 5)), 26.44174211599784
('O', (2, 5), (3, 5)), 35.15532407999672
('O', (2, 4), (2, 3)), 23.535006709998925
('O', (0, 4), (1, 4)), 32.82881177999661
('X', (0, 1), (0, 0)), 19.852170268999544
('X', (4, 1), (5, 1)), 31.381962571997065
('X', (4, 2), (5, 2)), 16.920502287999625
('X', (4, 0), (4, 1)), 29.844399542997053
