300
('X', (3, 0), (3, 1)), 299.9997732060001
('O', (2, 0), (2, 1)), 281.722613775999
('X', (5, 0), (5, 1)), 299.99961225699917
('X', (4, 0), (4, 1)), 258.3349298589983
('O', (1, 0), (0, 0)), 299.99942581199866
('X', (3, 0), (2, 0)), 232.30625654599862
('O', (1, 2), (1, 1)), 299.99923839099756
('O', (1, 3), (2, 3)), 214.37400156699914
('O', (0, 3), (1, 3)), 299.9990328249969
('O', (0, 5), (1, 5)), 179.05525787899933
('X', (5, 0), (4, 0)), 299.9988117599969
('X', (3, 0), (2, 2)), 160.65612137400058
