200
('X', (3, 2), (3, 3)), 187.70472774100017
('O', (2, 1), (2, 2)), 199.99969970600068
('X', (4, 2), (3, 2)), 175.06092097300098
('O', (3, 1), (2, 1)), 199.9995273270015
('O', (4, 1), (3, 1)), 162.87769425700026
('X', (5, 2), (5, 1)), 199.99935317700147
('X', (5, 5), (5, 4)), 150.3622265089998
('X', (1, 5), (0, 5)), 199.99915716100077
('X', (5, 5), (4, 5)), 137.5724454170013
('O', (4, 2), (5, 2)), 199.99898818600013
('X', (5, 3), (4, 3)), 124.95677983800124
('X', (5, 5), (0, 3)), 199.99877240000023
('X', (5, 3), (5, 5)), 112.78656351600148
('O', (4, 0), (5, 0)), 199.99865386400052
('O', (4, 1), (4, 2)), 100.48480106100214
('X', (2, 3), (1, 3)), 199.99839731300017
('X', (2, 5), (2, 4)), 82.80108432200359
('X', (1, 5), (2, 5)), 199.99826918399958
('O', (4, 0), (3, 0)), 71.11599356400438
